s	algo1_time	algo2_time	algo3_time
769	0.000000	0.007323	0.000003
770	0.000000	0.006957	0.000002
771	0.000000	0.007152	0.000002
772	0.000000	0.007288	0.000002
773	0.000000	0.007120	0.000002
774	0.000000	0.007178	0.000002
775	0.000000	0.007140	0.000002
776	0.000000	0.007087	0.000002
777	0.000000	0.007279	0.000002
778	0.000000	0.007097	0.000002
779	0.000000	0.007153	0.000002
780	0.000000	0.007009	0.000002
781	0.000000	0.007275	0.000002
782	0.000000	0.007324	0.000002
783	0.000000	0.007210	0.000002
784	0.000000	0.007314	0.000002
785	0.000000	0.007355	0.000001
786	0.000000	0.007906	0.000002
787	0.000000	0.007119	0.000002
788	0.000000	0.007148	0.000001
789	0.000000	0.007153	0.000001
790	0.000000	0.007108	0.000002
791	0.000000	0.007151	0.000002
792	0.000000	0.007083	0.000001
793	0.000000	0.007219	0.000002
794	0.000000	0.007196	0.000002
795	0.000000	0.007354	0.000001
796	0.000000	0.007165	0.000002
797	0.000000	0.007118	0.000002
798	0.000000	0.007405	0.000001
799	0.000000	0.007153	0.000002
800	0.000000	0.007278	0.000002
801	0.000000	0.007857	0.000002
802	0.000000	0.007201	0.000001
803	0.000000	0.007596	0.000002
804	0.000000	0.008238	0.000002
805	0.000000	0.007125	0.000002
806	0.000000	0.007483	0.000002
807	0.000000	0.007471	0.000002
808	0.000000	0.007266	0.000003
809	0.000000	0.007569	0.000002
810	0.000000	0.007334	0.000002
811	0.000000	0.007329	0.000002
812	0.000000	0.007313	0.000002
813	0.000000	0.007689	0.000002
814	0.000000	0.007463	0.000002
815	0.000000	0.007545	0.000002
